一	百
叟	童
叠岭层峦	�迤平原
叠嶂层峦	�迤平原
叠床架屋	精兵简政
口不二价	百约百叛
口不应心	言行一致
口中雌黄	闭口不谈
口似悬河	闭口不谈
口呆目瞪	辩才无碍
口头	行动 行为 书面 思想
口头作业	书面作业
口头语	书面语
口如悬河	闭口不谈
口尚乳臭	后生可畏
口快心直	心口如一
口无遮拦	道路以目
口无遮栏	半吞半吐
口是心非	心口如一
口眼闹斜	闭月羞花
口眼�斜	其貌不扬
口碑载道	怨声载道 民怨鼎沸 不得人心 人言可畏
口若悬河	钳口不言
口若悬河	钳口不言 闭口结舌 闭口无言 沉默寡言 笨嘴拙舌 拙嘴笨舌 金人缄口 一言不发 一声不吭 闭口藏舌 守口如瓶 张口结舌 缄口不言 噤若寒蝉 讷口少言 哑口无言 一声不响 钳口结舌 缄口结舌 默不作声 瞪目结舌 三缄其口
口蜜腹剑	苦口婆心
口血未乾	言而无信
口角春风	咄咄逼人
口诛笔伐	歌功颂德
口说无凭	有案可稽
口陈肝胆	口蜜腹剑
古	今
古为今用	以古非今
古井不波	古井重波
古井无波	不安于室
古井重波	古井不波
古代	近代 现代
古怪	平常 普通
古怪机灵	土头土脑
古恶不悛	改过自新
古旧	新鲜 崭新
古板	活泼 开通 机灵
古道热肠	人心不古
句	读
另创新路	安常袭故
另开生面	安常习故
另有所指	八宇打开
另眼相看	一视同仁
另眼看待	厚此薄彼
另起炉灶	一成不变 一如既往 双管齐下
只专不红	又红又专
只争朝夕	空耗时日 虚度年华 蹉跎岁月 游手好闲
只影全无	寥寥无几
只红不专	又红又专
只言片语	千言万语
只言片语	千言万语 多言多语 万语千言
叫	草
叫苦不迭	眉开眼笑
叫苦不迭	眉开眼笑 乐不可支 喜出望外
叫苦连天	眉开眼笑
召梦催眠	惊心动魄
可	否
可乘之机	无隙可乘
可乱楮叶	画虎不成
可以	拒绝 禁绝 不许 不能 不可
可喜	可恶 可叹 可悲 可哀
可心如意	大失所望
可怜	幸运 幸福
可恨	可恶
可恶	可喜 可爱
可想而知	不可思议
可歌可泣	歌功颂德 悲喜交集
可爱	可恶
可疑	信任 可信 确凿
可贵	普通 可耻 一般 平凡 平常
史不绝书	史无前例
史实	传说 传奇
史无前例	史不绝书
右	左
叵测之心	赤子之心
叶公好龙	名副其实
叶落归根	忘恩负义
号啕大哭	暗自嘘欷
号啕痛哭	暗自嘘欷
号寒啼饥	饱食暖衣
号�痛哭	暗自嘘欷
司空眼惯	百年不遇
司空见惯	大惊小怪
司空见惯	晴空霹雳 独步一时 前所未有 与众不同 触目惊心 旷古未闻 天下无双 独一无二 前无古人 闻所未闻 千载一会 怵目惊心 盖世无双 千载难逢 晴天霹雳 百年不遇 鲜为人知 旷古奇闻 千载难遇 千载一遇 少见多怪 见所未见 旷古未有 离奇古怪 绝无仅有 大惊小怪
司空见惯	见所未见
叹为观止	平淡无奇 海底捞针
叹为观止	海底捞针
吃一堑，长一智	重蹈覆辙
吃不开	吃得开
吃得开	吃不开
吃惊	冷静 镇定
吃着不尽	别无长物
吃糠咽菜	鼎食钟鸣
吃老本	立新功
吃苦耐劳	好吃懒做
吃苦耐劳	好吃懒做 拈轻怕重 贪图安逸
吃里爬外	赤胆忠肝
各不相关	漠不关心
各个击破	腹背受敌
各从其志	彼此合作
各司其职	包办代替
各奔东西	风雨同舟
各奔前程	分道扬镳
各式各样	一式一样
各得其所	不得其所 人浮于食 人浮于事
各得其所	人浮于事
各怀鬼胎	同心同德
各执一词	众口一词 众口纷纭
各执一词	莫衷一是
各执所见	矮人观场
各抒己见	随声附和 噤若寒蝉 异口同声 一唱一和
各持己见	独持异议
各有所短	各有千秋
各自为政	顾全大局
各行其事	同舟共济
各行其志	彼此合作
各行其是	步调一致
各行其是	遥呼相应 同心协力 步调一致 遥相呼应 同舟共济 同心同德 戮力同心 一唱一和 打成一片
各言其志	彼此合作
各谋其政	彼此合作
合	分
合	分 开 张 拆 离 闭
合伙	拆伙 单独 单干 散伙
合作	竞争 分工 单干 对峙
合同工	固定工
合家团聚	骨肉分离
合并	分头 分割 划分 隔开 分裂 分散 分开
合情合理	荒谬绝伦
合情合理	荒谬绝伦 牵强附会 不近道理 不近人情 岂有此理 没法没天 咄咄怪事 不可理喻 无法无天
合成词	单纯词
合拢	绽开 张开 分开
合时	失时 过时
合格	等外 淘汰
合法性	非法性
合浦珠还	不翼而飞
合浦而还	不翼而飞
合浦还珠	得而复失
合理	无理 畸形 荒谬
合而为一	分而为二
合订本	单行本
合零为整	化零为整
吉	凶
吉少凶多	化险为夷
吉星高照	红鸾照命
吉祥如意	时乖命蹇
吉祥如意	时乖运蹇 事与愿违 多灾多难 时乖命蹇
吉祥止止	避坑落井
吊丧	道喜 贺喜 祝贺
吊唁	庆祝 道喜 庆贺 祝贺
吊民伐罪	犯上作乱
吊誉沽名	不务空名
同	异
同一	分裂
同仇敌忾	同室操戈
同化	分化 异化
同声同气	方底圆盖
同室干戈	敌忾同仇
同室操戈	共御外侮
同年而语	未与伦比
同床各梦	安危与共
同床异梦	不相为谋
同归于尽	贪生怕死
同归殊涂	背道而驰
同德同心	方底圆盖
同心一德	方底圆盖
同心共济	方底圆盖
同心协力	同室操戈 明争暗斗 分崩离析 狼狈为奸 各行其是 尔虞我诈 各自为政 朋比为奸 离心背德 分庭抗礼 同床异梦 离心离德 钩心斗角
同心协力	披肝沥胆
同心同德	明争暗斗 三心二意 各行其是 分崩离析 貌合神离 各怀鬼胎 同床异梦 离心离德
同心同德	离心离德
同心同意	方底圆盖
同心戮力	方底圆盖
同心闻同德	方底圆盖
同志合道	方底圆盖
同恶相助	方底圆盖
同恶相求	方底圆盖
同恶相济	反戈一击
同情	嘲笑 憎恶 憎恨
同意	反对 拒绝 驳斥 回绝 禁绝 否决
同新	故 旧 老 陈
同日而言	未与伦比
同日而语	无与比伦 美妙绝伦 分门别类 较短论长 无与伦比 敌众我寡
同时并行	北辕适楚
同欲相趋	方底圆盖
同气连枝	和衷共济
同流合污	洁身自好
同甘共苦	同床异梦
同甘同苦	离心离德
同生共死	你死我活
同病相怜	幸灾乐祸
同盟者	反对者
同窗契友	半面之交
同窗好友	半面之交
同窗故友	半面之交
同舟共济	众叛亲离 反目成仇 鱼死网破 各行其是 分崩离析 自相残杀 貌合神离 各行其事 落落寡合 同床异梦 离心离德 各奔前程 鹬蚌相争 自相残害
同舟共济	同衾共枕
同舟而济	各奔东西
同衾共枕	同心同德
同起	伏 止 落
名	实
名下无虚	名不副实
名不副实	名副其实
名不副实	名副其实 名实相符 当之无愧 名不虚得 名不虚立 名不虚传 不务空名 名实相副
名不徒显	龟毛兔角
名不符实	名不徒显
名不符实	名符其实 名副其实
名不虚传	名存实亡 有名无实 盗名窃誉 名不副实 沽名钓誉 徒负虚名 名过其实 沽誉钓名 虚有其表 招摇撞骗 徒有虚名
名不虚传	有名无实
名不虚假	龟毛兔角
名不虚得	龟毛兔角
名不虚显	名不副实
名不虚立	龟毛兔角
名不虚行	名不副实
名不虚言	龟毛兔角
名不虚谓	龟毛兔角
名不见经传	名垂后世
名与实违	名不徒显
名义	实际 实质
名书竹帛	不见经传
名人	俗子 凡夫
名传千古	不见经传
名传海内	播臭千里
名位不彰	声名卓着
名倾一时	彪炳千古
名列前茅	榜上无名
名列前茅	榜上无名 名落孙山
名列榜首	榜上无名
名利兼收	不求名利
名副其实	名不虚传
名副其实	望梅止渴 欺世盗名 有名无实 有声无实 徒负虚名 声闻过情 其名徒有 空洞无物 名存实亡 叶公好龙 画饼充饥 空有虚名 色厉内荏 徒有虚名 滥竽充数 名不副实 冒名顶替 愧不敢当 虚有其表 徒有其名 挂羊头卖狗肉 言过其实 名不符实 名过其实
名动天下	播臭千里
名噪一时	彪炳千古
名噪全球	播臭千里
名噪天下	播臭千里
名垂万古	不见经传
名垂千古	丑声远播
名垂后世	名不见经传
名垂百世	不见经传
名垂竹帛	名不见经传
名垂罔极	不见经传
名垂青史	流芳百世
名垂青史	遗臭万代 不见经传 遗臭万年 威信扫地 声色狗马 声色犬马
名声大着	播臭千里
名声大震	播臭千里
名声扫地	身价百倍
名声藉甚	播臭千里
名声藉藉	播臭千里
名声过实	名不徒显
名声雀噪	播臭千里
名存实亡	名不副实
名存实亡	名副其实 名不虚传
名实不副	名不虚传
名实不违	龟毛兔角
名实相副	有名无实
名实相符	叶公好龙
名实难副	名不副实
名山大川	穷山恶水
名山大泽	穷山恶水
名山胜川	穷山恶水
名山胜水	穷山恶水
名扬四海	臭名远扬
名扬天下	播臭千里
名播天下	播臭千里
名播海内	播臭千里
名显天下	播臭千里
名标青史	遗臭万年
名正言顺	师出无名 名不正,言不顺 理屈词穷
名满天下	身败名裂
名符其实	龟毛兔角
名落孙山	鳌头独占
名葩异卉	闲花野草
名行其事	通力合作
名誉卓着	播臭千里
名誉扫地	籍籍无名
名誉日著	播臭千里
名誉日隆	播臭千里
名贵	低廉 常见 低俗 庸俗 廉价
名过其实	名不副实
名重一世	彪炳千古
名重一时	彪炳千古
名重乡里	播臭千里
名重天下	播臭千里
名重当时	彪炳千古
名门世家	布衣索族
名门右族	布衣索族
名门大族	布衣索族
名门旧族	布衣索族
名门望族	布衣素族
名门淑女	小家碧玉
名门闺秀	小家碧玉
名闻四海	播臭千里
名闻天下	播臭千里
名闻海内	播臭千里
名闻遐迩	播臭千里
名震一时	名垂千古 默默无闻
名震中外	播臭千里
名震全国	播臭千里
名题金榜	榜上无名
名高天下	臭名远扬
名高难副	名不徒显
名高难符	名不徒显
后	先 前
后	前
后个儿	前个儿
后人	先人 始祖 前人
后今薄古	颂古非今
后会可期	后会难期
后会有期	后会难期
后会难期	后会有期
后半夜	前半夜
后半天	前半天
后半晌	前半晌
后卫	先锋 前卫 前锋
后发制人	先发制人
后备军	常备军
后患无穷	斩草除根
后方	前方 前线
后来	起先 原来 早先 当时 初时 开头 当初 起初 先前
后来人	先驱者
后来居上	一代不如一代 不可逾越 不可企及 先入为主 先入之见 望尘莫及 一马当先 望尘不及
后果	缘由 前因
后知后觉	先知先觉
后福无量	后患无穷
后继乏人	后继有人
后继无人	后继有人
后继有人	后继乏人
后裔	祖宗 始祖 祖先
后记	引言 前言 序言
吐	吃 吞 咽 纳
吐	吞
吐哈	吃 吞 咽 纳
吐字	吃 吞 咽 纳
吐气扬眉	垂头丧气
吐胆倾心	背向异辞
吐露心腹	喋不休
向	背
向光性	背光性
向心力	离心力
向隅而泣	春风得意
君	臣
君主制	共和制
君主国	共和国
君子	小人 强盗
君子一言，快马一鞭	言而无信
君子之交	酒肉朋友
君子之交淡如水	小人之交甘若醴
吝啬	豪奢 大方 慷慨
吝惜	鄙弃 挥霍 浪费
吞	吐
吞吞吐吐	畅所欲言
吞声忍让	恃强施暴
吞声饮恨	据理力争
吞声饮泣	据理力争
吞声饮泪	据理力争
否	可 是
否	是
否决	判定 同意 批准 通过
否去泰来	福过灾生
否定	判定 含糊 肯定 保证
否极反泰	福过灾生
否极泰来	苦尽甘来
否极泰至	福过灾生
否极生泰	福过灾生
否极而泰	福过灾生
否终则泰	福过灾生
否认	否定
吧女	儿 子 母 父 男
含	露
含冤	申冤 昭雪
含冤受屈	沉冤昭雪
含冤昭雪	含冤莫白
含冤莫白	含冤昭雪
含冤负屈	雷打不动
含哺鼓腹	民不聊生
含垢忍辱	卑躬屈膝
含混	清晰 明确 鲜明 明白 明了 清楚
含笑九泉	含屈而死 死不瞑目
含糊	清楚
含糊其辞	八宇打开
含羞忍辱	忍无可忍
含苞待放	行将就木
含血喷人	昭冤申枉
含辛茹苦	养尊处优
含辛茹苦	无忧无虑 养尊处优
含辛茹荼	苟且偷安
听	说
听之任之	因势利导
听人穿鼻	独断独行
听从	违抗
听从	违抗 违拗 违反
听任	告诫 禁止
听其自便	摧毁廓清
听其自流	摧毁廓清
听其自然	听天由命
听命	命令 吩咐
听命于天	成事在人
听命由天	成事在人
听天任命	成事在人
听天由命	何去何从 事在人为 人定胜天 成事在人 谋事在人 改天换地
听天由命	听其自然
听而不闻	有闻必录
听觉	味觉 视觉 触觉
启	停
启	关 封 承
启	承
启动	停止 关闭
吵	静
吵吵嚷嚷	冷冷清清
吵闹	恬静 幽静 静寂 寂静 恬淡 恬然 安静 宁静 嘟囔 安然 恬谧
吸	呼
吸	呼 斥
吸引力	推斥力
吸收	剔除 发散 排泄 屏弃 排斥
吹	成
吹捧	讥诮 诬蔑 贬低 贬斥
吹毛取瑕	遏恶扬善
吹毛求瑕	遏恶扬善
吹毛求疵	隐恶扬善
吹毛求瘢	遏恶扬善
吹毛索疵	遏恶扬善
吹波助澜	排患解纷
吹灰之力	九牛二虎之力
吹进军号	打退堂鼓
吻合	相悖 抵触 出入
呆	活
呆头呆脑	聪明伶俐
呆滞	流通 流利 灵巧 机警 奔放 灵敏 灵活 伶巧 流畅
呆若木鸡	狡如脱兔
告别	见面 相逢 迎接 相聚
告哀求怜	昂首天外
告归乡里	背井离乡
告贷无门	奔走呼号
呐喊	低吟 高唱
呢喃细语	吵吵嚷嚷
呢子	女 母 父
周到	欠缺 疏忽 怠慢
周围	中间 中央 中心
周密	破绽 疏漏 粗放 疏忽 粗疏
周旋到底	退避三舍
周章狼狈	袒自若
味同嚼腊	津津有味
味同嚼蜡	妙语连珠 其味无穷 饶有风趣 有声有色 百读不厌 妙趣横生 引人入胜 津津有味 洋洋洒洒
味同嚼蜡	易牙之味
味如嚼蜡	回味无穷
味如鸡肋	味同嚼蜡
呵护	蹂躏 欺负 欺侮
呵斥	安慰 赞赏
呵责	赞扬 夸奖 赞誉 夸耀
呶呶不休	口若悬河
呼	吸
呼之欲出	平淡无奇
呼之竟出	画虎不成
呼名叫阵	指桑骂槐
呼吸	呼 斥
呼天抢地	乐极忘形
呼幺喝六	低声下气
呼饥号寒	饱食暖衣
命世之才	不舞之鹤
命中注定	祸福无门
命令	哀求 听命 请求 央求 恳求
命将就木	长生不老
命蹇时乖	大运亨通
命途坎坷	穷途潦倒
咄咄怪事	顺理成章 合情合理 天经地义
咄咄逼人	屈己从人
咄咄逼人	屈己从人 平易近人 和风细雨 温文尔雅 心怀若谷 器欲难量 和颜悦色 口角春风
和乐	哀 忧 悲 苦
和光同尘	独断独行
和合	分 开 张 拆 离 闭
和善	凶狠 凶暴 厉害 按凶恶 险恶 凶横 凶残 狰狞 蛮横 粗暴 凶恶
和好	交恶 争吵 翻脸 闹翻 反目 吵架 决裂
和婉	尖酸 粗暴
和容悦色	大发雷霆
和平使者	战争贩子
和平共处	鹿死谁手 一决雌雄 黩武穷兵 弱肉强食 鱼死网破 穷兵黩武 扒高踩低 浴血奋战 龙争虎斗 争权夺利 龙争虎战 大张挞伐 弹雨枪林
和平共处	龙争虎斗
和平演变	暴力革命
和平过渡	暴力革命
和文	武 白
和易近人	咄咄逼人
和氏之璧	尘垢秕糠
和璧隋珠	尘垢秕糠
和生	熟 死字 死 师 卒
和盘托出	藏头露尾
和盘托出	闪烁其词 含糊其词 讳莫如深 不可告人 闪烁其辞 守口如瓶 藏头露尾
和睦	斗争 勃谿 争吵 紧张 争执 反目 不和 抗争
和睦相处	相煎何急
和缓	锋利 强硬 剧烈 激烈 紧张 猛烈
和蔼可亲	平易近人
和蔼可亲	拒人千里 冷若冰霜 灸手可热 凛若冰霜 盛气凌人 恶声恶气 炙手可热 不咸不淡 横眉冷目 穷凶极恶 正言厉色 正颜厉色 金刚怒目 腹有鳞甲 横眉怒目 凛然难犯 敬而远之 气势汹汹 凶神恶煞 张牙舞爪
和蔼近人	撑眉努眼
和衷共济	分崩离析
和衷共济	同室操戈 鹿死谁手 离群索居 自甘雌伏 鱼死网破 分崩离析 貌合神离 分庭抗礼 落落寡合 同床异梦 离心离德 众叛亲离 鹬蚌相争
和谈	开战 战斗 战争
和谐	强横 杂乱 凶暴 动荡 不配 横蛮 凶横 动乱 厉害 蛮横
和隋之宝	尘垢秕糠
和隋之珍	尘垢秕糠
和颜悦色	其势汹汹 咄咄逼人 怒容满面 横眉冷目 恼羞成怒 张牙舞爪 瞠目而视 盛气凌人 声色俱厉 勃然大怒 横眉怒目 气急败坏 疾言厉色 暴跳如雷 横眉立眼 大发雷霆 忿然作色 青面獠牙 冷若冰霜 怒目而视 横眉竖眼 咄咄 正言厉色 发指眦裂 杀气腾腾 正颜厉色 严词厉色 金刚怒目 大吃一惊
和颜悦色	横眉立眼
和风丽日	风驰雨骤
和风扑面	北风凛冽
和风细雨	暴风骤雨
咎	休
咎有应得	积善得果
咎由自取	无妄之灾 改过自新 回头是岸 祸从天降
咎由自取	祸从天降
咫尺之间	天涯海角
咫尺天涯	近在咫尺
咬文嚼字	下笔淋漓
咬牙切齿	笑容可掬
咬牙切齿	笑容可掬 笑逐颜开
咸	淡
咸水湖	淡水湖
咸水鱼	淡水鱼
哀	乐
哀伤	欢乐 高兴 欢快 愉快 快乐 开心
哀号	欢呼 欢叫
哀哀欲绝	欢欣鼓舞
哀思如潮	欢喜若狂
哀悼	喜鼎 庆贺 祝贺 欢庆
哀感天地	欢喜若狂
哀感顽艳	激昂慷慨
哀毁骨立	笑逐颜开
哀痛	喜悦 快乐 愉快 欢乐
哀痛欲绝	欢欣鼓舞
哀而不伤	哀毁骨立
哀肠百结	心花怒放
哀鸿满路	安居乐业
哀鸿遍地	安居乐业
品头论足	不赞一词
品头题足	不赞一词
哄堂大笑	哑然失笑
哄堂大笑	泣不成声 哑然失笑 涕泗滂沱 莞尔一笑
哈	吸
哈哈大笑	粲然一笑
哈密	疏 稀
哑口无言	振振有辞
哑然失声	锣鼓喧天
哑然失笑	哄堂大笑
哗众取宠	实事求是
哭	笑
哭咧咧	哭啼啼
哭哭啼啼	嘻嘻哈哈
哭哭啼啼	欢欢喜喜
哭啼啼	哭咧咧
哭天号地	暗自嘘欷
哭天喊地	暗自嘘欷
哺育	摧残 抛弃
唇剑舌枪	笨口拙舌
唇枪舌剑	心平气和
唇齿相依	巢毁卵破
唉声叹气	豪言壮语
唤醒	沉溺 沉睡
售	购
唯利是图	仗义疏财
唯唯诺诺	桀骜不驯
唯唯诺诺	阔步高谈 颐指气使 不卑不亢 气宇轩昂 桀骜不驯 降龙伏虎 毫不示弱 强头倔脑
唯心主义	唯物主义
唯心史观	唯物史观
唯心论	唯物论
唯物主义	唯心主义
唯物史观	唯心史观
唯物论	唯心论
唱	和
唱主角	跑龙套
唱对台戏	甘拜下风
唱独脚戏	八方呼应
唱白脸	唱红脸
唱红脸	唱白脸
唾弃	崇尚 倾心 拥戴 崇拜
唾手可取	大海捞针
唾手可得	百世难期
唾手而得	大海捞针
唾面自乾	虚己以听
商量	争执 争吵
啜粟饮水	鼎食钟鸣
啜菽饮水	鼎食钟鸣
啧有烦言	众口交誉
啼	笑
啼饥号寒	丰衣足食
喁喁细语	大声疾呼
喃喃细语	大喊大叫
善	恶
善于辞令	不擅辞令
善始令终	半途而罢
善始善终	虎头蛇尾
善意	敌意 恶意 歹意
善意	歹意
善有善报	恶有恶报
善男信女	不逞之徒
善罢干休	寻事生非
善良	凶恶
善良之心	叵测之心
善良之辈	不逞之徒
善财难舍	博施众济
喊冤叫屈	委曲求全
喋不休	滔滔不绝
喋喋不休	三言两语
喋喋不休	默不做声 闭口结舌 默默无言 默默不语 三言两语 沉默寡言 默默无语 守口如瓶 一言不发 一声不吭 沉默不语 默不作声 默默无声 张口结舌
喋喋不已	闭口不谈
喘	屏
喙长三尺	闭口不谈
喜	忧 怒 悲
喜	悲
喜上眉梢	忧心如焚
喜上眉梢	悲从心来 愁眉不展 忧心如焚 悲从中来
喜不可言	哀感天地
喜不自胜	悲不自胜
喜之不尽	苦不堪言
喜从天降	祸从天降
喜冲冲	怒冲冲
喜出望外	悲从中来
喜出望外	泣不成声 叫苦不迭 大失所望 忧心如焚 悲从中来 不堪回首 悲不自胜 苦海无边 怒不可遏 叫苦连天 祸不单行 大难临头 痛哭流涕
喜吟吟	怒冲冲
喜好	厌恶 讨厌 憎恶 厌烦
喜孜孜	怒冲冲
喜形于色	忧心忡忡 唉声叹气 柔肠寸断 不露声色 怒容满面 怒形于色 心如铁石 愁眉不展 勃然变色 如丧考妣 怒发冲冠 闷闷不乐 义形于色 厚貌深情 愁眉苦脸 愁眉锁眼 令人发指
喜形於色	眉飞色舞
喜怒哀乐	心平气和
喜怒无常	一成不变
喜新厌旧	忠贞不渝
喜欢	厌恶
喜欢	憎恶 悲哀 嫌恶 讨厌 仇恨 厌恶 厌烦 痛恨 腻烦
喜欢	讨厌
喜气洋洋	忧心忡忡
喜气洋洋	忧心忡忡 唉声叹气 肝肠寸断 咳声叹气 怒火中烧 哀声叹气 怒气冲冲 愁眉苦脸 愁眉锁眼
喜气盈门	大祸临头
喜泪横流	悲愤填膺
喜盈盈	怒冲冲
喜眉笑眼	唉声叹气
喜眉笑眼	唉声叹气 愁眉苦脸 张牙舞爪
喜眉笑脸	愁眉苦脸
喜笑颜开	愁眉锁眼
喜色	怒容 愁容 怒色 愠色 忧色
喜逐颜开	愁眉不展
喜闻乐见	惨不忍闻
喜闻乐见	惨不忍闻 惨不忍睹 痛恨不已
喝倒采	捧场
喧哗	静寂 寂静 寂寥 安静 宁静 僻静 沉静
喧嚣	清静 宁静 恬静 寂静 孤寂 安静 肃静 沉寂 幽静 沉静
喧腾	寂静 安静 幽静 宁静
喧闹	静谧 恬静 沉寂 平静 嘟囔 幽静 清净 静寂 寂静 清幽 孤寂 安静 宁静 僻静 沉静
喷薄欲出	日薄西山
嗒焉自丧	踌躇满志
嗒焉若丧	踌躇满志
嗒然若丧	踌躇满志
嗒然若失	踌躇满志
嗤之以鼻	拍案叫绝
嗷嗷待哺	丰衣足食
嗷嗷待哺	丰衣足食 食不厌精 安家立业 人寿年丰 穷奢极侈 家给人足
嘈杂	寂静
嘉言懿行	为非作歹
嘘	吸
嘘寒问暖	漠不关心
嘲弄	赞扬 夸奖 表扬
嘴啃泥	仰八叉
嘻嘻哈哈	哭哭啼啼
嘻皮笑脸	油头滑脑
嘿嘿无言	喋不休
噤若寒蝉	口若悬河 夸夸其谈 直言不讳 滔滔不绝 各抒己见 百家争鸣 侃侃而谈 口如悬河 议论纷纷 畅所欲言
噤若寒蝉	守口如瓶
器宇轩昂	精神不济
噩耗	佳音 喜讯
嚎啕大哭	饮泣吞声
嚎�痛哭	暗自嘘欷
囊中取物	大海捞针
囊中空乏	百城南面
囊括无遗	挂一漏万
囊无孔方	百城南面
囊橐丰盈	囊空如洗
囊橐充盈	别无长物
囊橐累累	别无长物
囊橐萧然	百城南面
囊橐萧瑟	百城南面
囊空如洗	腰缠万贯
囊空羞涩	百城南面
囊箧萧条	百城南面
囊萤映雪	饱食终日
囊萤照书	饱食终日
囊萤照读	饱食终日
囊�丰盈	贝积如山
囚首垢面	油头粉面
四体不勤	不辞劳瘁
四体不勤，五谷不分	不辞辛劳孜孜不倦
四分五剖	精诚团结
四分五裂	万众一心 完好无损 一统天下 众志成城 戮力同心 百川归海 团结一致 百川朝海 精诚团结
四周围	当中间儿
四四方方	滴溜儿圆
四壁萧然	百城南面
四处招摇	大事招摇
四处碰壁	八面玲珑
四大皆空	酸甜苦辣
四川归海	众叛亲离
四平八稳	操之过急
四平八稳	操之过急 颤颤巍巍 轻举妄动 想入非非 踉踉跄跄 如饥似渴
四方云扰	百兽率舞
四方扰攘	百兽率舞
四方步	碎步儿
四海为家	安土重迁
四海承平	天下多故
四海鼎沸	百兽率舞
四通八达	风雨不透 水泄不通 穷途末路
四面八方	弹丸之地 一步之遥
四面出击	不敢旁鹜
四面受敌	左右逢源
四面楚歌	歌舞升平
回	去
回味无穷	味如嚼蜡 索然无味
回味无穷	索然无味
回天之力	回天乏术
回头是岸	迷途知返
回家	出门 外出
回归	叛离 逃离
回归故土	背井离乡
回归故里	背井离乡
回心向善	不能自拔
回心转意	从善如流
回忆	向往 憧憬
回想	展望 憧憬
回报	辜负 索取
回环跌宕	平铺直叙
回笼	放出 发放 投放 出笼
回答	质问 提问 询问
回绝	同意 答应 招待 应允 允许
回顾	瞻望 展望
因	果
因事制宜	刻舟求剑
因公忘私	以私废公
因势利导	不识时务 听其自然 听之任之 倒行逆施
因噎废食	百折不挠
因地制宜	妙手�轮
因地制宜	生搬硬套 瞬息万变 一成不变 刻舟求剑 削足适履 横扫一切
因循坐误	分秒必争
因循守旧	革故鼎新
因循惯例	标新立异
因时制宜	一概而论 刻舟求剑 不合时宜
因时制宜	刻舟求剑
因材施教	一视同仁
因福得祸	塞翁失马
因袭	改革 独创
因陋就简	繁文缛节 铺张浪费 扬长避短 富丽堂皇 精益求精
因陋就简	铺张浪费
团	尖
团结	决裂
团结	分裂
团结	斗争 分裂 分散 分开 松散
团结一致	分崩离析
团结友爱	龙争虎斗
团聚	分离 离别 分别 离散 分散 分开
囤积	抛售 倾销
囫囵吞枣	生吞活剥
困兽犹斗	束手待毙
困勉下学	困而不学
困处泥涂	青云直上
困知勉行	困而不学
困而不学	困勉下学
困苦	甜蜜 幸福
困难	简易 便利 容易 简单 轻易
困难至极	顺手牵羊
围城打援	围魏救赵
围聚	分散 散开
围魏救赵	声东击西
囹圄充积	图圄空虚
囹圄生草	囹圄充积
囹圄空虚	囹圄充积
固守	猛攻 撤退 进军 失守 失陷
固定	摇晃 流动
固定工	合同工
固定资本	流动资本
固执不通	矮人观场
固执己见	人云亦云
固步自封	停滞不前
固若金汤	危如累卵 瓦解土崩 不堪一击 一触即溃 岌岌可危 土崩瓦解
固若金汤	土崩瓦解
国事蜩螗	百兽率舞
国产货	舶来品
国人皆曰可杀	百身何赎
国困民穷	鼓腹而游
国士无双	不舞之鹤
国外	国际 国内
国家大事	个人小事
国富民安	物阜民丰
国富民强	国步艰难
国无宁岁	百兽率舞
国无宁日	天下太平
国步艰难	国泰民安
国泰民安	内忧外患 荒淫无道 哀鸿遍地 民不聊生 六畜不安 哀鸿遍野 生灵涂炭 兵连祸接 人荒马乱 海水群飞 烽火连天 国弱民穷 水深火热 国已不国 狼烟四起 炮火连天 兵荒马乱 兵慌马乱 国破家亡 饿殍遍地 兵连祸结
国泰民安	民不聊生
国破家亡	国泰民安
国色天姿	豹头环眼
国营企业	民营企业
国际	国外 国内
国际主义	沙文主义
图为不轨	循规蹈矩
图国忘死	草间活命
图穷匕见	显而易见
图谋不轨	循规蹈矩
圆	扁 方
圆	方
圆滑	纯真 耿直
圈	放
土	洋
土产品	舶来品
土博士	洋博士
土头土脑	古怪机灵
土崩瓦解	固若金汤
土气	潇洒 洋气
土牛木马	真材实料
土豪劣绅	开明绅士
土里土气	洋里洋气
土阶茅屋	碧瓦朱甍
土阶茅次	碧瓦朱甍
圣人巨人	君子
圣明天子	无道昏君
在劫难逃	相安无事 安然如故 洪福齐天 安然无恙 鸿运高照 平安无事 安然无事
在劫难逃	鸿运高照
在所不惜	敝帚自珍
在职	离休 退职 离职 退休
在野	在朝 执政
在野党	执政党
地	天
地丑德齐	寡不敌众
地久天长	喜新厌旧
地北天南	衡宇相望
地坦而平	凹凸不平
地大物博	弹丸之地
地广人稀	十室九空
地广民众	地广民稀
地旷人稀	人烟稠密
地望高华	声名狼藉
地核	地壳 地表
地狭人稠	地广人稀
地狱	天堂 人间 天国
地窄人稠	地广人稀
地角天涯	近在咫尺
地面	天空 高空 空中
均分	独占 独吞
坎坷不平	康庄大道
坎坷不平	康庄大道 光明大道 阳关大道 一帆风顺
坏	好
坏人坏事	好人好事
坏蛋	好人 好汉
坐	卧 立 站
坐下	起立 站立
坐井观天	面面俱到 无懈可击 天衣无缝 高瞻远瞩 无微不至 纵览全局 见多识广 眼观六路 包罗万象 凭高望远 应有尽有
坐井观天	高瞻远瞩
坐享其成	自食其力
坐以待毙	死里求生
坐卧不安	心安理得
坐吃山空	白手起家
